lat,lon,time
45.3703532,27.0280603,2018-09-02 08:30:00
45.3677226,27.0237258,2018-09-02 08:30:00
45.3668709,27.0247343,2018-09-02 08:30:00
45.3684538,27.0247236,2018-09-02 08:30:00
45.3646974,27.0192572,2018-09-02 08:30:00
45.3637401,27.0205554,2018-09-02 08:30:00
45.3658206,27.0207807,2018-09-02 08:30:00
45.3621817,27.0151268,2018-09-02 08:30:00
45.3608022,27.0162962,2018-09-02 08:30:00
45.3631391,27.0165215,2018-09-02 08:30:00
45.3546008,27.0032792,2018-09-02 08:30:00
45.3536886,27.0048456,2018-09-02 08:30:00
45.3555809,27.0046203,2018-09-02 08:30:00
45.3502201,26.9963507,2018-09-02 08:30:00
45.3487046,26.9974879,2018-09-02 08:30:00
45.3512154,26.9976596,2018-09-02 08:30:00
45.3407866,26.9817801,2018-09-02 08:30:00
45.3395272,26.9833250,2018-09-02 08:30:00
45.3418574,26.9831963,2018-09-02 08:30:00
45.3385724,26.9782825,2018-09-02 08:30:00
45.3361267,26.9743680,2018-09-02 08:30:00
45.3372052,26.9731663,2018-09-02 08:30:00
45.3372278,26.9764279,2018-09-02 08:30:00
45.3307567,26.9659029,2018-09-02 08:30:00
45.3322501,26.9623517,2018-09-02 08:30:00
45.3317070,26.9678448,2018-09-02 08:30:00
45.3228635,26.9536912,2018-09-02 08:30:00
45.3246588,26.9512451,2018-09-02 08:30:00
45.3244174,26.9565880,2018-09-02 08:30:00
