lat,lon,time
44.4382317,26.0505084,2018-09-02 08:30:00
44.4382777,26.0502992,2018-09-02 08:30:10
44.4383275,26.0500203,2018-09-02 08:30:20
44.4383773,26.0497413,2018-09-02 08:30:30
44.4383964,26.0495536,2018-09-02 08:30:40
44.4382892,26.0494946,2018-09-02 08:30:50
44.4381436,26.0494409,2018-09-02 08:31:10
44.4379866,26.0495107,2018-09-02 08:31:20
44.4379368,26.0498057,2018-09-02 08:31:30
44.4380057,26.0499184,2018-09-02 08:31:40
44.4381092,26.0499935,2018-09-02 08:31:50
44.4382164,26.0500525,2018-09-02 08:31:59
44.4383351,26.0501222,2018-09-02 08:32:10
44.4383236,26.0502992,2018-09-02 08:32:20
44.4382662,26.0504602,2018-09-02 08:32:30
44.4381666,26.0504977,2018-09-02 08:32:40
44.4380747,26.0504816,2018-09-02 08:32:50
44.4379981,26.0504333,2018-09-02 08:33:00
44.4378985,26.0503851,2018-09-02 08:34:00
44.4378640,26.0502402,2018-09-02 08:35:00
44.4378793,26.0501222,2018-09-02 08:35:30
44.4379023,26.0500042,2018-09-02 08:35:40
44.4379062,26.0498754,2018-09-02 08:35:50
44.4379751,26.0497306,2018-09-02 08:36:00
44.4380096,26.0495858,2018-09-02 08:36:10
44.4380057,26.0494463,2018-09-02 08:36:20
44.4380900,26.0493926,2018-09-02 08:36:30
44.4381896,26.0494034,2018-09-02 08:36:40
44.4383390,26.0494677,2018-09-02 08:36:50
44.4384041,26.0494892,2018-09-02 08:37:00
44.4384500,26.0495482,2018-09-02 08:38:00
44.4386099,26.0494906,2018-09-02 08:38:30
44.4384309,26.0497521,2018-09-02 08:38:50
44.4383888,26.0499237,2018-09-02 08:39:00
44.4383849,26.0500847,2018-09-02 08:40:00
44.4382930,26.0505138,2018-09-02 08:40:30
44.4381934,26.0505835,2018-09-02 08:40:40
44.4381015,26.0505728,2018-09-02 08:40:50
44.4380096,26.0505299,2018-09-02 08:41:00
44.4378870,26.0504494,2018-09-02 08:41:30
44.4378181,26.0503314,2018-09-02 08:41:40
