lat,lon,time
44.4344824,26.0485655,2018-09-02 08:30:00
44.4344824,26.0486514,2018-09-02 08:33:00
44.4344824,26.0487372,2018-09-02 08:34:00
44.4344824,26.0488123,2018-09-02 08:35:00
44.4344824,26.0488981,2018-09-02 08:39:00
44.4344824,26.0489625,2018-09-02 08:41:00
44.4344901,26.0490269,2018-09-02 08:44:00
44.4345360,26.0490054,2018-09-02 08:46:00
44.4345513,26.0489196,2018-09-02 08:47:00
44.4345590,26.0491127,2018-09-02 08:48:00
44.4344977,26.0491663,2018-09-02 08:49:00
44.4345207,26.0492414,2018-09-02 08:53:00
44.4345207,26.0493380,2018-09-02 08:55:00
44.4344671,26.0492951,2018-09-02 08:58:00
44.4345743,26.0492736,2018-09-02 08:59:00
