lat,lon,time
44.4433310,26.0903724,2018-09-02 08:30:00
44.4424003,26.0913514,2018-09-02 08:30:00
44.4422662,26.0925021,2018-09-02 08:30:00
44.4420460,26.0923116,2018-09-02 08:30:00
44.4423256,26.0920836,2018-09-02 08:30:00
44.4423601,26.0918610,2018-09-02 08:30:00
44.4424137,26.0912227,2018-09-02 08:30:00
44.4422145,26.0902678,2018-09-02 08:30:00
44.4417971,26.0905816,2018-09-02 08:30:00
44.4428312,26.0890313,2018-09-02 08:30:00
44.4431912,26.0885163,2018-09-02 08:30:00
44.4428005,26.0868051,2018-09-02 08:30:00
44.4418200,26.0874166,2018-09-02 08:30:00
44.4428503,26.0868909,2018-09-02 08:30:00
44.4437044,26.0863169,2018-09-02 08:30:00
44.4435627,26.0853942,2018-09-02 08:30:00
44.4439495,26.0868909,2018-09-02 08:30:00
44.4434746,26.0863920,2018-09-02 08:30:00
44.4427392,26.0868909,2018-09-02 08:30:00
44.4431376,26.0880872,2018-09-02 08:30:00
