lat,lon,time
44.4287297,26.0541078,2018-09-02 08:30:00
44.4286626,26.0529598,2018-09-02 08:30:00
44.4285918,26.0515892,2018-09-02 08:30:00
44.4288025,26.0515141,2018-09-02 08:30:00
44.4291894,26.0514336,2018-09-02 08:30:00
44.4287258,26.0516268,2018-09-02 08:30:00
44.4283964,26.0516428,2018-09-02 08:30:00
44.4280516,26.0516965,2018-09-02 08:30:00
44.4285573,26.0519057,2018-09-02 08:30:00
44.4285113,26.0523778,2018-09-02 08:30:00
44.4285496,26.0519701,2018-09-02 08:30:00
44.4284194,26.0498350,2018-09-02 08:30:00
44.4285726,26.0508865,2018-09-02 08:30:00
44.4286722,26.0518199,2018-09-02 08:30:00
44.4286952,26.0524421,2018-09-02 08:30:00
44.4287565,26.0532146,2018-09-02 08:30:00
44.4285726,26.0524100,2018-09-02 08:30:00
44.4286722,26.0514336,2018-09-02 08:30:00
44.4291779,26.0513585,2018-09-02 08:30:00
44.4287488,26.0517126,2018-09-02 08:30:00
44.4278447,26.0518199,2018-09-02 08:30:00
44.4269023,26.0520130,2018-09-02 08:30:00
44.4286875,26.0512512,2018-09-02 08:30:00
44.4288638,26.0538691,2018-09-02 08:30:00
